	H1hesc_mean	K562_mean	fold_change	log2_fold_change
DEFA5	0.020756	0.009441	2.19857720034	1.1365701919
EPB41L5	3.059781	1.238889	2.46977762682	1.30438115066
MCM5	72.070998	38.606702	1.86680018048	0.90056751189
FAXDC2	1.263595	3.731101	0.338665491185	-1.56206710608
HPS3	8.350696	2.876139	2.90343970626	1.53776307489
GFM2	5.414787	7.929721	0.682847028022	-0.550365673958
EEF1D	40.722872	34.157673	1.19220276223	0.253629621025
DPY19L2P1	0.129123	0.025523	5.05911657151	2.33888548192
BDNF-AS	0.622796	0.157940	3.943250453	1.9793853452
HERC2P2	11.876883	11.202834	1.06016772127	0.0842925209299
SLC34A1	0.003602	0.003920	0.918769137723	-0.122225698774
RPS2	325.005783	311.594049	1.0430423278	0.0607977051914
C9orf3	0.411882	0.445841	0.923831831783	-0.114297837979
TGFA	0.464854	0.010957	42.4258683328	5.40687228268
BPI	0.005033	0.002289	2.19857720033	1.1365701919
GSTA3	0.017957	0.013224	1.35792522771	0.441404041741
MAFB	0.387744	0.006452	60.1003460418	5.9093013925
SNAR-F	0.075493	0.034337	2.19857720033	1.1365701919
SNAR-G1	0.301784	0.487998	0.618412100751	-0.693359545478
GZMH	0.013056	0.075922	0.171965839783	-2.53980608618
SNORD105	0.158394	0.366022	0.432743335976	-1.20841649188
SNORD104	35.341801	23.268897	1.518843002	0.60297275072
SNORD96B	0.128235	0.058326	2.19857720033	1.1365701919
SNORD94	1.341010	1.480981	0.90548767915	-0.143233084138
SNX22	38.495246	35.607468	1.08110035064	0.112500444122
ZNF501	0.685993	0.671061	1.02225231581	0.0317513311439
CYLD	1.028785	0.789549	1.303002786	0.381840168591
ISLR2	0.080436	0.003851	20.8882738765	4.38462137366
ERAP2	0.038738	0.349318	0.11089552065	-3.1727270023
ZCCHC3	17.135629	8.165730	2.09848084404	1.06934529366
NUF2	3.244575	11.041126	0.29386271588	-1.76678576763
TMC1	0.211059	0.003254	64.8707031335	6.01949517116
RFPL2	0.089818	0.005530	16.2424438921	4.02169681644
FKBP5	1.445819	3.238765	0.446410723977	-1.16355640992
FKBP5	11.102852	23.229718	0.477958975244	-1.06504130252
ATP2C2	0.580041	0.007418	78.1988555794	6.28907558909
CALU	19.762581	41.804910	0.472733492696	-1.08090101307
USF1	15.627179	10.639846	1.46874106706	0.554580077179
CA3	0.281855	0.154914	1.81942964355	0.86348626395
ARHGAP4	5.545526	23.594037	0.235039319674	-2.08902596979
TRPV4	0.942894	0.007568	124.581646733	6.96094773713
PRDM13	0.028532	0.001327	21.4971452097	4.42607317958
MIR548W	0.123173	0.056024	2.19857720033	1.1365701919
MIR3179-3	0.283367	0.237925	1.19099103933	0.252162558824
DCN	0.006817	0.043049	0.15834608834	-2.65884686631
PLA2G7	0.957493	0.002419	395.786251318	8.6285776872
OPN1SW	0.814638	1.114222	0.731126979326	-0.451806105214
SPAM1	0.010206	0.002801	3.64372980464	1.8654159822
SPAM1	0.011551	0.001909	6.04999243549	2.59693333854
BANP	4.349028	3.966437	1.09645704445	0.132849293117
ZNF577	1.937148	0.310031	6.24823350593	2.64344837018
HSFX2	0.204771	0.074405	2.75211286661	1.46053963747
NCOA7	0.721725	3.316519	0.217615164609	-2.20014899996
AUH	4.439734	2.447262	1.81416348468	0.85930447125
KIF21A	4.426910	3.870347	1.14380180748	0.193837090464
NREP	45.970641	0.046410	990.528774035	9.95205507459
NREP	43.931153	0.043367	1013.0189732	9.98444547981
CT47A2	0.007223	8.242616	0.000876312537656	-10.1562668795
TPTE2	0.010042	0.015281	0.657147097627	-0.605711751336
GABRA2	0.074814	0.006723	11.1274715661	3.47605390918
